id,areaRank
Rajasthan,1
Madhya Pradesh,2
Maharashtra,3
Uttar Pradesh,4
Gujarat,5
Karnataka,6
Andhra Pradesh,7
Odisha,8
Chhattisgarh,9
Tamil Nadu,10
Telangana,11
Bihar,12
West Bengal,13
Arunanchal Pradesh,14
Jharkhand,15
Assam,16
Himachal Pradesh,17
Uttarakhand,18
Punjab,19
Haryana,20
Jammu & Kashmir,21
Kerala,22
Meghalaya,23
Manipur,24
Mizoram,25
Nagaland,26
Tripura,27
Andaman & Nicobar Island,28
Sikkim,29
Goa,30
NCT of Delhi,31
Dadara & Nagar Havelli,32
Daman & Diu,33
Chandigarh,35
Puducherry,34
Lakshadweep,36
